battery,seed,line_id,token,token_bin
TM,1729,1,ek,clash
TM,1729,1,mucane,clash
TM,1729,2,teoyuxtlane,match
TM,1729,2,ascensionada,match
TM,1729,2,yutsal,abstain
TM,1729,3,kilya,clash
TM,1729,3,ma,match
TM,1729,4,itsok,clash
TM,1729,4,kextal,clash
TM,1729,4,kujkuali,match
TM,1729,4,ik'bala,clash
TM,1729,5,ikba'yucane,clash
TM,1729,6,'ibil,clash
TM,1729,6,kutsen,clash
TM,1729,6,ik'el,clash
TM,1729,6,kifba,abstain
TM,1729,6,tlayeb,clash
TM,1729,7,ascenada,clash
TM,1729,7,akal,clash
TM,1729,8,aiokmo,clash
TM,1729,8,elba,match
TM,1729,9,kuxte',match
TM,1729,9,kíimil',match
TM,1729,10,tlaxye',clash
TM,1729,11,ma'oxe,clash
TM,1729,11,ik'el,clash
TM,1729,12,le'itzil,clash
TM,1729,13,xatlene,abstain
TM,1729,13,kujkuali,clash
TM,1729,14,gyan'uks,clash
TM,1729,14,ko'janti,abstain
TM,1729,15,'ibil,clash
TM,1729,16,ik'el,clash
TM,1729,17,yaxe,match
TM,1729,17,chikula',match
TM,1729,18,tzokan'te,abstain
TM,1729,18,ik'el,clash
TM,1729,19,líimek,clash
TM,1729,20,yutsal,abstain
TM,1729,20,yatle,abstain
TM,1729,21,tlayeb,abstain
TM,1729,21,kutsen,clash
TM,1729,22,kifba,clash
TM,1729,23,kuxkal,match
TM,1729,24,yuquia,clash
TM,1729,25,eche,clash
TM,1729,25,nochbe,clash
TM,1729,26,kí',clash
TM,1729,26,inib,abstain
TM,1729,27,mujuk',abstain
TM,1729,27,mucane,abstain
TM,1729,27,niáach,match
TM,1729,27,i'chian,clash
TM,1729,28,waja,abstain
TM,1729,28,buxa,clash
TM,1729,29,fukuur,abstain
TM,1729,30,daka,abstain
TM,1729,30,puxe,clash
TM,1729,30,xi,clash
TM,1729,31,kifba,abstain
TM,1729,31,kilya,abstain
TM,1729,31,sakilja,match
TM,1729,32,ik'eche,clash
TM,1729,32,sakilja,match
TM,1729,32,donuks,clash
TM,1729,33,donuks,clash
TM,1729,33,ko'soxsal,abstain
TM,1729,34,donuks,clash
TM,1729,34,ko'mujuk,clash
TM,1729,35,cha'tsoke,clash
TM,1729,35,itsok,clash
TM,1729,35,xefe,match
TM,1729,35,yotlapek,clash
TM,1729,36,puyao,clash
TM,1729,37,tlapec,abstain
TM,1729,37,puyao,clash
TM,1729,37,itsok,clash
TM,1729,37,uch',clash
TM,1729,37,ta'nuk,clash
TM,1729,38,otsuks,clash
TM,1729,38,tzokan'te,clash
TM,1729,38,ik'el,clash
TM,1729,40,kuxkal,clash
TM,1729,40,kutsen,clash
TM,1729,40,tlayeb,clash
TM,1729,40,ela,match
TM,1729,40,ukto,match
TM,1729,40,máax,match
TM,1729,42,otsuks,clash
TM,1729,43,mucane,abstain
TM,1729,44,máax,clash
TM,1729,44,cheyel,clash
TM,1729,46,máax,match
TM,1729,46,tlayeb,abstain
TM,1729,46,mucane,abstain
TM,1729,48,otsuks,abstain
TM,1729,48,quxzeh,abstain
TM,1729,49,axba,clash
TM,1729,49,kíibsa',match
TM,1729,50,ek,clash
TM,1729,50,tala,clash
TM,1729,50,jare'yantul,abstain
TM,1729,51,ek'le,match
TM,1729,51,upulché,clash
TM,9001,1,ek,match
TM,9001,1,mucane,clash
TM,9001,2,teoyuxtlane,match
TM,9001,2,ascensionada,clash
TM,9001,2,yutsal,abstain
TM,9001,3,kilya,clash
TM,9001,3,ma,match
TM,9001,4,itsok,clash
TM,9001,4,kextal,clash
TM,9001,4,kujkuali,match
TM,9001,4,ik'bala,clash
TM,9001,5,ikba'yucane,clash
TM,9001,6,'ibil,abstain
TM,9001,6,kutsen,clash
TM,9001,6,ik'el,abstain
TM,9001,6,kifba,abstain
TM,9001,6,tlayeb,abstain
TM,9001,7,ascenada,clash
TM,9001,7,akal,clash
TM,9001,8,aiokmo,abstain
TM,9001,8,elba,clash
TM,9001,9,kuxte',clash
TM,9001,9,kíimil',match
TM,9001,10,tlaxye',abstain
TM,9001,11,ma'oxe,clash
TM,9001,11,ik'el,clash
TM,9001,12,le'itzil,clash
TM,9001,13,xatlene,abstain
TM,9001,13,kujkuali,clash
TM,9001,14,gyan'uks,abstain
TM,9001,14,ko'janti,abstain
TM,9001,15,'ibil,clash
TM,9001,16,ik'el,clash
TM,9001,17,yaxe,match
TM,9001,17,chikula',clash
TM,9001,18,tzokan'te,clash
TM,9001,18,ik'el,clash
TM,9001,19,líimek,abstain
TM,9001,21,tlayeb,abstain
TM,9001,21,kutsen,clash
TM,9001,22,kifba,clash
TM,9001,23,kuxkal,match
TM,9001,24,yuquia,clash
TM,9001,25,eche,clash
TM,9001,25,nochbe,clash
TM,9001,26,kí',match
TM,9001,26,inib,abstain
TM,9001,27,mujuk',clash
TM,9001,27,mucane,abstain
TM,9001,27,niáach,match
TM,9001,27,i'chian,clash
TM,9001,28,waja,abstain
TM,9001,28,buxa,clash
TM,9001,29,fukuur,abstain
TM,9001,30,daka,abstain
TM,9001,30,puxe,clash
TM,9001,30,xi,abstain
TM,9001,31,kifba,abstain
TM,9001,31,kilya,abstain
TM,9001,31,sakilja,clash
TM,9001,32,ik'eche,abstain
TM,9001,32,sakilja,match
TM,9001,32,donuks,abstain
TM,9001,34,ko'mujuk,clash
TM,9001,35,cha'tsoke,clash
TM,9001,35,itsok,abstain
TM,9001,35,xefe,match
TM,9001,35,yotlapek,abstain
TM,9001,36,puyao,abstain
TM,9001,37,tlapec,abstain
TM,9001,37,puyao,abstain
TM,9001,37,itsok,abstain
TM,9001,37,uch',clash
TM,9001,37,ta'nuk,clash
TM,9001,38,otsuks,abstain
TM,9001,38,tzokan'te,clash
TM,9001,38,ik'el,clash
TM,9001,40,kuxkal,clash
TM,9001,40,kutsen,clash
TM,9001,40,tlayeb,clash
TM,9001,40,ela,clash
TM,9001,40,ukto,match
TM,9001,40,máax,match
TM,9001,42,otsuks,abstain
TM,9001,42,máax,clash
TM,9001,43,mucane,abstain
TM,9001,44,máax,abstain
TM,9001,44,cheyel,abstain
TM,9001,46,máax,abstain
TM,9001,46,tlayeb,abstain
TM,9001,46,mucane,abstain
TM,9001,48,otsuks,abstain
TM,9001,48,quxzeh,abstain
TM,9001,49,axba,abstain
TM,9001,49,kíibsa',abstain
TM,9001,50,ek,match
TM,9001,50,tala,abstain
TM,9001,50,jare'yantul,abstain
TM,9001,51,ek'le,match
TM,9001,51,upulché,match
TM,271828,1,ek,match
TM,271828,1,mucane,clash
TM,271828,2,teoyuxtlane,match
TM,271828,2,ascensionada,match
TM,271828,2,yutsal,clash
TM,271828,3,kilya,abstain
TM,271828,3,ma,match
TM,271828,4,itsok,clash
TM,271828,4,kextal,clash
TM,271828,4,kujkuali,match
TM,271828,4,ik'bala,match
TM,271828,5,ikba'yucane,match
TM,271828,6,'ibil,clash
TM,271828,6,kutsen,clash
TM,271828,6,ik'el,clash
TM,271828,6,kifba,abstain
TM,271828,6,tlayeb,clash
TM,271828,7,ascenada,match
TM,271828,7,akal,clash
TM,271828,8,aiokmo,abstain
TM,271828,8,elba,clash
TM,271828,9,kuxte',match
TM,271828,9,kíimil',match
TM,271828,10,tlaxye',abstain
TM,271828,11,ma'oxe,clash
TM,271828,11,ik'el,clash
TM,271828,12,le'itzil,clash
TM,271828,13,xatlene,clash
TM,271828,13,kujkuali,clash
TM,271828,14,gyan'uks,clash
TM,271828,14,ko'janti,abstain
TM,271828,15,'ibil,clash
TM,271828,16,ik'el,clash
TM,271828,17,yaxe,match
TM,271828,17,chikula',match
TM,271828,18,tzokan'te,clash
TM,271828,18,ik'el,clash
TM,271828,19,líimek,clash
TM,271828,20,yutsal,clash
TM,271828,20,yatle,clash
TM,271828,21,tlayeb,abstain
TM,271828,21,kutsen,clash
TM,271828,22,tlayeb,abstain
TM,271828,22,kifba,abstain
TM,271828,23,kuxkal,match
TM,271828,24,yuquia,clash
TM,271828,25,eche,clash
TM,271828,25,nochbe,clash
TM,271828,26,kí',match
TM,271828,26,inib,clash
TM,271828,27,mujuk',clash
TM,271828,27,mucane,clash
TM,271828,27,niáach,match
TM,271828,27,i'chian,clash
TM,271828,28,waja,abstain
TM,271828,28,buxa,clash
TM,271828,29,fukuur,match
TM,271828,30,daka,abstain
TM,271828,30,puxe,clash
TM,271828,30,xi,clash
TM,271828,31,kifba,abstain
TM,271828,31,kilya,abstain
TM,271828,31,sakilja,match
TM,271828,32,ik'eche,match
TM,271828,32,sakilja,match
TM,271828,32,donuks,abstain
TM,271828,33,donuks,abstain
TM,271828,33,ko'soxsal,abstain
TM,271828,34,donuks,abstain
TM,271828,34,ko'mujuk,abstain
TM,271828,35,cha'tsoke,clash
TM,271828,35,xefe,match
TM,271828,35,yotlapek,abstain
TM,271828,36,puyao,clash
TM,271828,37,tlapec,clash
TM,271828,37,puyao,clash
TM,271828,37,uch',clash
TM,271828,37,ta'nuk,clash
TM,271828,38,otsuks,clash
TM,271828,38,tzokan'te,clash
TM,271828,38,ik'el,clash
TM,271828,40,kuxkal,abstain
TM,271828,40,kutsen,clash
TM,271828,40,tlayeb,abstain
TM,271828,40,ela,match
TM,271828,40,ukto,match
TM,271828,40,máax,match
TM,271828,42,otsuks,abstain
TM,271828,42,máax,clash
TM,271828,43,mucane,clash
TM,271828,44,máax,abstain
TM,271828,44,cheyel,abstain
TM,271828,46,máax,match
TM,271828,46,tlayeb,abstain
TM,271828,46,mucane,clash
TM,271828,48,otsuks,abstain
TM,271828,48,quxzeh,abstain
TM,271828,49,axba,clash
TM,271828,49,kíibsa',clash
TM,271828,50,ek,match
TM,271828,50,tala,match
TM,271828,50,jare'yantul,abstain
TM,271828,51,ek'le,match
TM,271828,51,upulché,match
TM,42,1,ek,match
TM,42,1,mucane,abstain
TM,42,2,teoyuxtlane,match
TM,42,2,ascensionada,clash
TM,42,2,yutsal,abstain
