battery,line_id,seed_a,seed_b,compatible
TM,1,1729,9001,1
TM,1,1729,271828,1
TM,1,1729,42,1
TM,1,1729,55555,1
TM,1,9001,271828,1
TM,1,9001,42,1
TM,1,9001,55555,1
TM,1,271828,42,1
TM,1,271828,55555,1
TM,1,42,55555,1
TM,2,1729,9001,1
TM,2,1729,271828,1
TM,2,1729,42,1
TM,2,1729,55555,0
TM,2,9001,271828,1
TM,2,9001,42,1
TM,2,9001,55555,0
TM,2,271828,42,0
TM,2,271828,55555,1
TM,2,42,55555,0
TM,3,1729,9001,1
TM,3,1729,271828,1
TM,3,1729,42,1
TM,3,1729,55555,1
TM,3,9001,271828,1
TM,3,9001,42,1
TM,3,9001,55555,1
TM,3,271828,42,1
TM,3,271828,55555,1
TM,3,42,55555,1
TM,4,1729,9001,0
TM,4,1729,271828,0
TM,4,1729,42,0
TM,4,1729,55555,0
TM,4,9001,271828,0
TM,4,9001,42,0
TM,4,9001,55555,1
TM,4,271828,42,0
TM,4,271828,55555,0
TM,4,42,55555,0
TM,5,1729,9001,0
TM,5,1729,271828,1
TM,5,1729,42,0
TM,5,1729,55555,0
TM,5,9001,271828,0
TM,5,9001,42,1
TM,5,9001,55555,1
TM,5,271828,42,0
TM,5,271828,55555,0
TM,5,42,55555,1
TM,6,1729,9001,0
TM,6,1729,271828,0
TM,6,1729,42,1
TM,6,1729,55555,0
TM,6,9001,271828,0
TM,6,9001,42,1
TM,6,9001,55555,0
TM,6,271828,42,1
TM,6,271828,55555,1
TM,6,42,55555,0
TM,7,1729,9001,1
TM,7,1729,271828,1
TM,7,1729,42,0
TM,7,1729,55555,1
TM,7,9001,271828,1
TM,7,9001,42,0
TM,7,9001,55555,1
TM,7,271828,42,0
TM,7,271828,55555,1
TM,7,42,55555,0
TM,8,1729,9001,0
TM,8,1729,271828,0
TM,8,1729,42,0
TM,8,1729,55555,0
TM,8,9001,271828,0
TM,8,9001,42,0
TM,8,9001,55555,1
TM,8,271828,42,0
TM,8,271828,55555,0
TM,8,42,55555,0
TM,9,1729,9001,1
TM,9,1729,271828,1
TM,9,1729,42,1
TM,9,1729,55555,1
TM,9,9001,271828,1
TM,9,9001,42,1
TM,9,9001,55555,1
TM,9,271828,42,1
TM,9,271828,55555,1
TM,9,42,55555,1
TM,10,1729,9001,1
TM,10,1729,271828,1
TM,10,1729,42,1
TM,10,1729,55555,1
TM,10,9001,271828,1
TM,10,9001,42,1
TM,10,9001,55555,1
TM,10,271828,42,1
TM,10,271828,55555,1
TM,10,42,55555,1
TM,11,1729,9001,0
TM,11,1729,271828,0
TM,11,1729,42,0
TM,11,1729,55555,0
TM,11,9001,271828,1
TM,11,9001,42,1
TM,11,9001,55555,1
TM,11,271828,42,1
TM,11,271828,55555,1
TM,11,42,55555,1
TM,12,1729,9001,1
TM,12,1729,271828,1
TM,12,1729,42,1
TM,12,1729,55555,0
TM,12,9001,271828,1
TM,12,9001,42,1
TM,12,9001,55555,0
TM,12,271828,42,1
TM,12,271828,55555,0
TM,12,42,55555,0
TM,13,1729,9001,0
TM,13,1729,271828,0
TM,13,1729,42,0
TM,13,1729,55555,0
TM,13,9001,271828,0
TM,13,9001,42,0
TM,13,9001,55555,0
TM,13,271828,42,0
TM,13,271828,55555,0
TM,13,42,55555,1
TM,14,1729,9001,0
TM,14,1729,271828,0
TM,14,1729,42,1
TM,14,1729,55555,0
TM,14,9001,271828,0
TM,14,9001,42,0
TM,14,9001,55555,1
TM,14,271828,42,0
TM,14,271828,55555,0
TM,14,42,55555,0
TM,15,1729,9001,1
TM,15,1729,271828,0
TM,15,1729,42,1
TM,15,1729,55555,0
TM,15,9001,271828,0
TM,15,9001,42,1
TM,15,9001,55555,0
TM,15,271828,42,0
TM,15,271828,55555,0
TM,15,42,55555,0
TM,16,1729,9001,0
TM,16,1729,271828,0
TM,16,1729,42,0
TM,16,1729,55555,0
TM,16,9001,271828,1
TM,16,9001,42,1
TM,16,9001,55555,1
TM,16,271828,42,1
TM,16,271828,55555,1
