id,token,found,root,lang,gloss,confidence
46,Teoyuxtlane,N,,,,none
47,Ti,Y,ti',Maya (Yucatec),"preposition: to, at, in, for",C
48,til,N,,,,none
49,tlapec / yotlapek,Y,tlapech- (tlapechtli),Nahuatl,"bed, platform, frame",soft
50,tlayeb,N,,,,none
51,tul,Y,tul,K'iche',"reed, bullrush",C
52,u,Y,u,Maya (Yucatec),"3sg possessive: his/her/its (also moon/month)",C
53,uch' / pu uch',Y,uch',K'iche',opossum,C
54,u'tra,N,,,,none
55,Vaal,N,,,,none
56,waaj (waja),Y,waaj (wah),Maya (Yucatec),"tortilla, maize bread",C
57,xefe,Y,jefe (< Spanish),Spanish loan,"boss, chief",C
58,xi,Y,xi' (subjunctive/imperative of bin),Maya (Yucatec),"go (let/may … go)",C
59,xu'te,N,,,,none
60,Yutsal / yutsal,Y,y-uts (uts 'good' + poss. y-),Maya (Yucatec),"its goodness / good",soft
61,Zerphi,N,,,,none
