line_id,translation,confidence,notes
1,"Atziri, Atziri, wasp toward the buried Vaal!",medium,"Atziri: opaque proper (no dict hit). ek: Yucatec EK wasp (strict exact); competitor EK' black/star/darken (apostrophe optional; seed among EK' senses: darken). te: Yucatec locative cluster (alla, aculla, lugar, hacia); seed among locatives: hacia (toward). mucane: segment muk+ane; Yucatec MUK bury/hide/cover (competitor MUK times/count; -ane is attested Maya suffix, so participle bury/hide is preferred over count). Vaal: opaque proper."
2,God-place (yux residue) ascended! God-place Yutsal!,low,"Teoyuxtlane: segment teotl (Nahuatl god) + tlan (Nahuatl place/beneath) + e; unexplained residue yux (not high). ascensionada: not an index lemma; Spanish-shaped, cf. attested Spanish ascender (to ascend) plus -ada; competitor opaque. Yutsal: segment yut (Yucatec bezoar/talisman/precious) + sal (residue; also Spanish sal salt); soft talisman. No cross-graft claimed for yux."
3,"Atziri, Atziri, not kilya Zerphi!",low,"ma: K'iche' ma negative indicator (exact); Yucatec MA' no/not is the usual negative but surface lacks glottal (Yucatec MA without glottal: command-with-vigor / completive postfix, logged competitor). kilya: no whole-form hit; soft kil (Yucatec pulse/sweet) + ya (pain/love); left opaque. Zerphi: opaque proper."
4,At its-ok entirely all-ra! Kex-tal xi good (kuj residue) wind-bal!,low,"Ti: surface lacks glottal; Yucatec TI' locative in/at/to (apostrophe optional); strict no-glottal hit is ti month (competitor). itsok: no whole hit; segment its (Yucatec resin/enchantment/sorcery) + ok (Yucatec foot/enter/day-name); soft. anab: loose exact unab Yucatec entirely. nochira: Nahuatl nochi all/whole + residue ra (soft). Kextal: kex (Yucatec although/where) + tal (Yucatec become-visible/come); seed among kex reverse-index junk discarded; definitional aunque/donde used. xi: Yucatec spark/clinging thing; Nahuatl xi year; Nahuatl commands xiquihta look and xitechchia wait attest xi- as command onset (clause-initial competitor). kujkuali: Nahuatl cuali/cualli good/well + unexplained kuj (soft, not high). ik'bala: Yucatec IK' wind/breath/spirit + residue bala (Spanish bala bullet is exact but cross-token; Maya -bal attested suffix, residue a)."
5,"Atziri, Atziri, ikba'-yuk-ane Vaal!",low,"ikba'yucane: no whole hit. Segment ik' (wind/breath) + ba' (Yucatec mole/reflexive ba) + yuk (Yucatec deer/captain) + ane (Maya suffix), or ikba' + yucane parallel to mucane. Residue remains; not forced. Vaal: opaque proper."
6,There: shaken-one tlayeb turkey-I! There: insect tlayeb kifba!,low,"A'te: recurrent frame; segment a' (Yucatec affirmative end-particle) + te (toward/place); distributional presentative There. 'Ibil: Yucatec IBIL shake / must-be-shaken (strict). tlayeb: no whole hit; tla (Nahuatl) + yeb (Yucatec rain/mist/ladder) is a forbidden cross-graft; left opaque. kutsen: Yucatec kuts + en; -en 1sg I-am (Yucatec EN); kuts bird cluster (pavo, ganso, pato); seed among birds: Pavo (turkey). ik'el: Yucatec ik'el insect/bug/moth (strict exact, seed insecto); competitor IK'AL wind/sea/breathe (loose vowel). kifba: /f/ loan-diagnostic; no attested lemma; opaque."
7,"Atziri, Atziri, ascended approaching!",low,"ascenada: not in index; Spanish-shaped, cf. attested ascender (to ascend) plus -ada; competitor opaque. akal: Yucatec AKAL approach/draw-near and AKAL clothes/shoes coming apart (seed pick: romper ropa); neighbor ascenada (if Spanish ascend) favors approach (rule 6). Competitor aborrecer/hate."
8,Aiokmo honorable wound-te! Aiokmo full jare dawn!,low,"Aiokmo: no hit (aocmo/ayocmo absent from index; a~o not a licensed vowel shift); opaque. til: Yucatec TIL honrado, venerable, ilustre (seed vs propiedad: honrado). xu'te: loose Nawat xuta to wound / xuti water-snail; seed: xuta wound. tul: Yucatec TUL full/abundant and person-classifier; competitor K'iche' tul reed. jare: /r/ so K'iche'/loan; no jare lemma; opaque. elba: loose Spanish alba dawn (ilide) and Yucatec ALBA melt/soften; Spanish loan exact under both latitudes."
9,Live-te death!,medium,"Kuxte': no whole strict hit; segment kux (Yucatec KUX live/life/alive) + te (locative/presentative). Loose Nawat kuxta cacao-like tree / sack (competitor). kíimil': Yucatec kíimil death/die/decease (exact, doubled ii = length only)."
10,Tlaxye' the Vaal!,low,"Tlaxye': no hit; tla+ye would cross-graft; ye Yucatec sharpen/feint; left opaque. le: Yucatec LE demonstrative that/the (aquel, ese); competitor snare/lazo; neighbor Vaal (proper) selects demonstrative. Vaal: opaque proper."
11,Not-oxe insect!,low,"Ma'oxe: segment ma' (Yucatec MA' no/not, exact) + oxe (no whole hit; ox/oox Yucatec three is leftover residue e). ik'el: insect (as line 6)."
12,Atziri the-evil!,medium,le'itzil: K'iche' le the + itzel bad/evil (i~e licensed loose; apostrophe split). Same-language K'iche' segmentation. Competitor Yucatec le + unattested itzil. Atziri: opaque proper.
13,What-(xa) good (kuj residue)!,low,Xatlene: Nahuatl tlen what/that-which + xa/xat residue (soft). xat also K'iche' comb-tree / Yucatec snort. kujkuali: cuali good (as line 4).
14,Gyan'uks ko'janti!,low,Gyan'uks: /g/ Nahuatl/loan diagnostic; no whole hit. Loose: yan (Yucatec YAN there-is/have/exist) + licensed coda uks. Name-like vocative. ko'janti: no hit; opaque. Not forced into a sentence.
15,There: shaken-one!,medium,A'te as line 6. 'Ibil: IBIL shake (strict).
16,There: insect!,medium,A'te as line 6. ik'el: insect (strict). Competitor IK'AL wind (loose).
17,First/green insignia!,medium,"Yaxe: no whole hit; yax (Yucatec first/anterior/begin/green cluster, including Empezar) + e. chikula': Yucatec chikul insignia/sign/firma + residue a (soft, Gate 1 residue)."
18,Punish-te insect!,low,Tzokan'te: no whole hit; tsok/TSOK Yucatec punish/tear-out + an + te (presentative/locative). Soft. ik'el: insect.
19,There: líimek (twist residue)!,low,líimek: no whole hit; mek Yucatec twist/bend/cripple + lii/lim residue (LIM Cordemex idem only). Left mostly opaque.
20,Yatle talisman!,low,"Yatle: no whole hit; Nahuatl tle rise/go-up + ya residue, or yat+le; cross-graft not used; left opaque as unit. yutsal: yut talisman/bezoar (as line 2)."
21,tlayeb turkey-I!,low,tlayeb opaque (as line 6). kutsen: turkey + 1sg -en (as line 6).
22,[abstain] tlayeb kifba,abstain,Both tokens lack a strict whole-form hit. tlayeb: forbidden cross-graft if split. kifba: /f/ and no lemma. Opaque stays opaque.
23,U-there life-throat!,low,"U'Te: parallel to A'te; u is below dict_lookup length-2 index floor (not invented as a root here); te locative. kuxkal: kux live/life + kal (Yucatec throat/force/overflow/power); same-language compound, soft life-throat or life-force."
24,There: stretched-out!,low,yuquia: K'iche' yuq stretch-out/hold-out + residue ia (soft).
25,Oh lu noch-road!,low,"Eche: loose Yucatec ACHE oh/hello/poor-me (Campeche hola). lu: no strict exact; loose K'iche' lo perhaps/doubt or Yucatec la kinship; weak, left lu. nochbe: noch (Yucatec elongated/crocodile/sudden; seed not applied across mismatched senses) + be (Yucatec BE road/path/work). Soft elongated-road or crocodile-road."
26,Pleasant my-ib!,low,Kí': Yucatec KI' pleasant/sweet/wine/better; seed among pleasant cluster: Agradable. inib: no whole hit; in Yucatec I/my + ib (Yucatec fish/avarice or K'iche' self). Soft my-ib; ib not forced.
27,"Ayok dung I-am, u ghost the buried, far in-face.",low,"'Ayok: no hit (same opacity as Aiokmo); opaque. ta': Yucatec TA' excrement/dung cluster (seed Cagada among that cluster); competitor K'iche' ta' to ask. en: Yucatec EN 1sg I-am (definitional; reverse-index Yuyunak ignored as non-definitional). u: unindexed short form. mujuk': K'iche' muj shadow/specter/ghost + uk residue (soft). le mucane: the/that + buried (as lines 1, 10). niáach: Yucatec NACH far/foreign/abhor + ia residue (soft far). i'chian: ich Yucatec face/eye/in (seed parpados in the eye cluster) + ian residue."
28,There: if-ha Yatle u'tra gourd!,low,waja: wa Yucatec if/or/yes-no particle + ja/ha'; soft. yatle opaque (as line 20). u'tra: /r/ loan-diagnostic; no hit; opaque. buxa: Yucatec BUX small wild gourd + a.
29,There: fukuur!,low,fukuur: /f/ Spanish/loan diagnostic; fuego fire is attested but does not reconstruct fukuur (no invented root). Opaque token kept.
30,xi daka perhaps...,low,Xi: as line 4 (spark / year / command-onset). daka: /d/ Spanish diagnostic; no lemma; opaque. puxe: loose K'iche' puxa perhaps (Momostenango).
31,Ayok kifba Atziri kilya white-water.,low,'Ayok opaque. kifba opaque (/f/). kilya opaque (as line 3). sakilja: Yucatec sakil whiteness/albo + ja; j~h variant yields HA' water (Yucatec drown/water-weed cluster); same-language white-water (soft residue if ja is not taken as ha').
