id,token,legacy_confidence,recovery,reason,committed_root,committed_gloss,dec_root,dec_lang,dec_gloss,gate1_strict,gate1_where,gate2_adversarial,gate2_note,protocol,tier
1,Aiokmo,none,no,confidence_not_C,aocmo,"no more, no longer",,,,fail,strict_committed_results id=1 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
2,akal,C,no,mismatch:sense,akal,still / eternal waters,akal,Yucatec Maya,to quarrel/scold (Campeche dialect),fail,strict_committed_results id=2 mismatch:sense dec_root='akal' dec_lang='Yucatec Maya' dec_gloss='to quarrel/scold (Campeche dialect)',survive,no strong different-meaning competitor in archived adversarial CSV,,C
3,anab,none,no,confidence_not_C,anaab,"court-servant, attendant",,,,fail,strict_committed_results id=3 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
4,ascensionada / ascenada,C,yes,root_lang_sense_match,ascensión + -ada,"ascended, risen",ascension(-ada),Spanish,ascended / ascension (loan),pass,strict_committed_results id=4 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
5,A'te / U'Te / Yatle,none,no,confidence_not_C,at / yan presentative,behold / here is / there stands,,,,fail,strict_committed_results id=5 confidence_not_C dec_root='' dec_lang='' dec_gloss='',fall,cross-language+DIFF-meaning: Nahuan ahtle = nothing,,C+L*
6,atla,none,no,confidence_not_C,atl,the water / upon the water,,,,fail,strict_committed_results id=6 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
7,Atziri,none,no,confidence_not_C,ātl,the queen (name),,,,fail,strict_committed_results id=7 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
8,'Ayok,none,no,confidence_not_C,aocmo / ayoc,"no more, no longer",,,,fail,strict_committed_results id=8 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
9,cha'tsoke,none,no,confidence_not_C,ka'a,the ending once more,,,,fail,strict_committed_results id=9 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
10,che',C,yes,root_lang_sense_match,che',"tree, wood",che',Yucatec Maya,"tree, wood, stick",pass,strict_committed_results id=10 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
11,ek,C,no,mismatch:sense,ek',star; also black / dark,ek,Yucatec Maya,a large wasp,fail,strict_committed_results id=11 mismatch:sense dec_root='ek' dec_lang='Yucatec Maya' dec_gloss='a large wasp',survive,no strong different-meaning competitor in archived adversarial CSV,,C
12,Ela,soft,no,confidence_not_C,el / elel,"burns, it burns",el,Yucatec Maya,to burn,fail,strict_committed_results id=12 confidence_not_C dec_root='el' dec_lang='Yucatec Maya' dec_gloss='to burn',survive,no strong different-meaning competitor in archived adversarial CSV,,C
13,elba,none,no,confidence_not_C,el + ba',"burn out, extinguish",,,,fail,strict_committed_results id=13 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
14,-en,C,yes,root_lang_sense_match,-en / teen,"me, I",-en,Yucatec Maya,1st-person absolutive/predicative suffix (I am),pass,strict_committed_results id=14 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
15,Eztli Pilli,soft,yes,battery_d_override_matching_root,eztli,"""the Blood Prince"" (a forbidden Vaal tome)",es(-tli) pil(-li),Nahuatl,blood; noble/child,pass,"strict_committed CSV confidence=soft (root 'es(-tli) pil(-li)' gloss 'blood; noble/child'); override: Battery D tight-online C on Eztli in 5/5 seeds (recovery-scorable yes=5 in Battery C offline where columns exist). AUDIT_REVIEW O2 documented this upgrade; retained because the recovered root is eztli/blood, not a homophone.",survive,no strong different-meaning competitor in archived adversarial CSV,,H+L
16,Guatelitzi,none,no,confidence_not_C,(name)[38],the Architect of Flesh (a Vaal architect of the Temple of Atzoatl),,,,fail,strict_committed_results id=16 confidence_not_C dec_root='' dec_lang='' dec_gloss='',n/a,proper name; Gate 2 not applicable,,C+L
17,'Ibil,soft,no,confidence_not_C,il,the seen → the flesh (laid bare),ibil,Yucatec,to shake (sacudir),fail,strict_committed_results id=17 confidence_not_C dec_root='ibil' dec_lang='Yucatec' dec_gloss='to shake (sacudir)',fall,same-language+DIFF-meaning: Maya ib (+-il) = lima bean (Phaseolus),,C+L*
18,ich,C,yes,root_lang_sense_match,ich(il),"in, within",ich,Yucatec,face; eye; fruit; in/inside,pass,strict_committed_results id=18 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
19,i'chian,none,no,confidence_not_C,ichan,"the dwelling, her house",,,,fail,strict_committed_results id=19 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
20,ik'bala,none,no,confidence_not_C,ik' + ba',"spirit-self, soul",,,,fail,strict_committed_results id=20 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
21,ikba'yucane,none,no,confidence_not_C,ik' + ba' + -ane hon.,the deathless-spirited ones,,,,fail,strict_committed_results id=21 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
22,Ik'eche,none,no,confidence_not_C,ik',"""O spirit / thou art breath""",,,,fail,strict_committed_results id=22 confidence_not_C dec_root='' dec_lang='' dec_gloss='',fall,same-language+alt-segmentation+DIFF-meaning: Maya ik' (wind) + che' (tree/wood) = wind + tree/wood,,C*
23,ik'el,none,no,confidence_not_C,ik' + -el,"the spirit, the unseen",,,,fail,strict_committed_results id=23 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
24,itsok / itzil,none,no,confidence_not_C,iitz,"blood, essence",,,,fail,strict_committed_results id=24 confidence_not_C dec_root='' dec_lang='' dec_gloss='',fall,cross-language+DIFF-meaning: Nahuan itztli = obsidian (sacred blade),,C+L*
25,jare,none,no,confidence_not_C,are',"connective: ""thus, and so""",,,,fail,strict_committed_results id=25 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
26,k'áak' (kahk),C,yes,root_lang_sense_match,k'áak',fire,k'aak',Yucatec,fire (fuego),pass,strict_committed_results id=26 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
27,Kextal,none,no,confidence_not_C,k'ex,"transformation, ritual renewal",,,,fail,strict_committed_results id=27 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
28,ki' (Kí'),C,yes,root_lang_sense_match,ki',"good, delicious, sweet",ki',Yucatec,delicious/sweet; wine,pass,strict_committed_results id=28 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
29,kifba,none,no,confidence_not_C,k'i'ik',"the heart, lifeblood",,,,fail,strict_committed_results id=29 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
30,kilya,none,no,confidence_not_C,quil-,"evergreen, everlasting (contextual ""undying"")",,,,fail,strict_committed_results id=30 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C+L
31,kujkuali,C,yes,root_lang_sense_match,cualli,"good, worthy",kuj-kuali (cuahcualli),Nahuatl,good (reduplicated/plural),pass,strict_committed_results id=31 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H+L
32,kutsen,soft,no,confidence_not_C,kutz,the offering,kuts,Maya,turkey; also to plane/smooth (+absolutive -en),fail,strict_committed_results id=32 confidence_not_C dec_root='kuts' dec_lang='Maya' dec_gloss='turkey; also to plane/smooth (+absolutive -en)',fall,cross-language+DIFF-meaning: Kiche kotz'i'j = flower; candle,,C+L*
33,k'ux (quxzeh),C,yes,root_lang_sense_match,k'ux,"bite!, be fierce",k'ux,Maya,"pain, to hurt; to bite/gnaw; to hate",pass;protocol_unexplained_residue,strict_committed_results id=33 recovery=yes (root_lang_sense_match) | PROTOCOL unexplained_residue: section 9 note: -zeh coda is a non-morphemic tail. Gate 1 forbids unexplained residue. (Gate-1 decoder match stands; H forbidden),survive,no strong different-meaning competitor in archived adversarial CSV,unexplained_residue,C
34,ma,C,yes,root_lang_sense_match,mā / Maya ma',"optative ""may""; negation ""not""",ma' (ma),Maya,"no, not (negative particle)",pass;protocol_dual_incompatible_bundle,strict_committed_results id=34 recovery=yes (root_lang_sense_match) | PROTOCOL dual_incompatible_bundle: one H row bundles Maya ma' negation and Nahuatl ma optative. (Gate-1 decoder match stands; H forbidden),survive,no strong different-meaning competitor in archived adversarial CSV,dual_incompatible_bundle,C
35,máax,C,yes,root_lang_sense_match,máax,who (interrogative),máax (maax),Maya,who (interrogative); also spider monkey,pass,strict_committed_results id=35 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
36,mucane,soft,no,confidence_not_C,muk',"the mighty, the enduring",muk'an (muk'a'an),Maya,"strong, animated (+terminal deictic -e')",fail,"strict_committed_results id=36 confidence_not_C dec_root=""muk'an (muk'a'an)"" dec_lang='Maya' dec_gloss=""strong, animated (+terminal deictic -e')""",fall,cross-language+DIFF-meaning: Kiche muq/muqik = to bury; to hide; same-language+DIFF-meaning: Maya muk/mukul = to bury; hidden/secret,,C*
37,mujuk',none,no,confidence_not_C,muk',"strength, might",,,,fail,strict_committed_results id=37 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
38,náach (niáach),C,yes,root_lang_sense_match,náach,"far, distant",náach (naach/nach),Maya,"far, distant",pass,strict_committed_results id=38 recovery=yes (root_lang_sense_match),survive,no strong different-meaning competitor in archived adversarial CSV,,H
39,nochira,none,no,confidence_not_C,nochi / mochi,"all, everything",,,,fail,strict_committed_results id=39 confidence_not_C dec_root='' dec_lang='' dec_gloss='',survive,no strong different-meaning competitor in archived adversarial CSV,,C
40,pochiti,none,no,confidence_not_C,poch,the Hungering One (Atziri's name for the Beast),,,,fail,strict_committed_results id=40 confidence_not_C dec_root='' dec_lang='' dec_gloss='',fall,same-language+DIFF-meaning: Nahuan puchini = it bursts/frays/ravels,,C+L*
