token,line_ids,current_tier,current_root,rival_id,rival_root,rival_lang,rival_gloss,source,form_fit,residue,line_sense,morphology,neighbor_field,verdict,outcome_tier,notes
kuxte',9;23;40,C+L*,kux/kuxtal,A,kux / kuxtal,Yucatec Maya,"life, living, to live; soul",Cordemex KUX/KUXTAL; ilide kuxtal,composition or leftover al vs e',small,merism with kiimil,family with kuxkal,wins merism and family,winner,C+L*,methodology example; T-M 5/5 life; do not promote to H
kuxte',9;23;40,C+L*,kux/kuxtal,B,kuxta,Nawat,tree resembling cacao; also gunny-sack,Campbell Pipil,exact stem,glottal leftover,cacao-tree + death not a merism,splits kuxkal family,weaker,loser logged,C+L*,T-D 5/5 clash; real Gate-2 competitor already starred
kuxte',9;23;40,C+L*,kux/kuxtal,C,kux + te',Yucatec Maya,life-tree (composition),Cordemex pieces,two Maya pieces,none if segmented,tree not merism partner,conflicts with kuxkal as living,weaker,loser logged,C+L*,explains surface; not adopted
ik'el,"6;11;16;18;38",C+L,ik' + -el,A,ik' + -el,Yucatec Maya,wind/breath/spirit + abstractive -el,Cordemex IK' aire; IK'IL aereo,composition,none if -el granted,couplet and countless/last frames,ik' family recurrent,wins family and field,keep-as-C*,C+L*,current reading stands
ik'el,"6;11;16;18;38",C+L,ik' + -el,B,ik'el,Yucatec Maya,"insect, moth, weevil, microbe, virus",ilide ik'el; Cordemex IK'EL bicho,exact lexeme,none,"behold the insect; last insect",breaks ik' family,fails neighbor field,loser logged,C+L*,highest battery clash; not deleted
ik'el,"6;11;16;18;38",C+L,ik' + -el,C,ik’il,K'iche',month; menstruation,Christenson,exact fold i vs e,language plus vowel,unrelated,no,fails,loser logged,C+L*,palette-third
ik'el,"6;11;16;18;38",C+L,ik' + -el,D,IK'AL,Yucatec Maya,to breathe; rough sea,Cordemex,near vowel a vs e,a/e,breath is same root as A,same family,corroborates ik',same-root not competitor,C+L*,battery breath reading
kutsen,"6;21;40",C+L*,kutz sacrificial bird,A,kuts/kutz,Yucatec Maya,native turkey (pavo de esta tierra),Cordemex KUTS pavo,kuts + -en affix,none,turkey as sacrificial bird in ritual frame,same lemma as current,wins as same root,winner same lemma,C+L*,battery turkey is not a different root; L-step remains offering
kutsen,"6;21;40",C+L*,kutz sacrificial bird,B,kuts acepillar,Yucatec Maya,"brush, clean with cloth, fray",Cordemex KUTS acepillar,same form as A,none,forced laid-bare reading only,no family,fails recurrence,loser logged,C+L*,same-language homophone
kutsen,"6;21;40",C+L*,kutz sacrificial bird,C,-kuts,Nawat,"leg, calf",Campbell,prefix,leftover -en,leg does not fit offering frame,no,fails,loser logged,C+L*,T-D seed 55555
