surface,rank,form,lang,gloss,source,kind,residue,note
Atziri,0,,,,,,,no attested form hit in attached dictionaries
ek,1,ak,K'iche',firecracker,Christenson K'iche',exact,,
ek,2,ak,K'iche',reed; bamboo,Christenson K'iche',exact,,
ek,3,ek,K'iche',to go (Totonicapán),Christenson K'iche',exact,,
ek,4,ik,K'iche',chile,Christenson K'iche',exact,,
ek,5,AK,Yucatec Maya,"tortuga, galapago, icotea; ak hit'bil pop: petate",Cordemex,exact,,
ek,6,AK,Yucatec Maya,las tres estrellas juntas que estan en el signo de,Cordemex,exact,,
ek,7,AK,Yucatec Maya,"puerco, jabali de esta tierra, que es el que guia",Cordemex,exact,,
ek,8,AK,Yucatec Maya,enano,Cordemex,exact,,
ek,9,AK,Yucatec Maya,una yel'ba con que se cubren [los techos] de las,Cordemex,exact,,
ek,10,AK,Yucatec Maya,"arqueado, cubrir 10: ak sots': [toponimico] nombre de  unos vestigios arqueol6gicos encontrados cerca",Cordemex,exact,,
ek,11,AK,Yucatec Maya,cuenta para contar muchas y difel'entes cosas,Cordemex,exact,,
ek,12,AK,Yucatec Maya,cosa que se esconde 6: cosa que se va,Cordemex,exact,,
te,1,ta,K'iche',to understand; to hear,Christenson K'iche',exact,,
te,2,ta,K'iche',to pay attention to someone’s counsel,Christenson K'iche',exact,,
te,3,ta,Nahuatl,padre,Campbell Pipil/Nawat CN,exact,,
te,4,ta,Nahuatl,my father,Nahuatl 1100 wordlist,exact,,
te,5,te,Nahuatl,(SD) tehemet,Campbell Pipil/Nawat CN,exact,,
te,6,-ti,Nawat,to become,Campbell Pipil/Nawat,exact,,
te,7,ta,Nawat,"¿qué?, que; what",Campbell Pipil/Nawat,exact,,
te,8,te,Nawat,"datka nada, de nada, no hay de qué; nothing; you're welcome",Campbell Pipil/Nawat,exact,,
te,9,te,Nawat,ke:man nunca; never,Campbell Pipil/Nawat,exact,,
te,10,te,Nawat,"ye:k malo, feo, no sirve; bad, no good, worthless",Campbell Pipil/Nawat,exact,,
te,11,ti,Nawat,21-t ik negro; black,Campbell Pipil/Nawat,exact,,
te,12,TA,Yucatec Maya,"grueso del hombre, culebra, arbol,",Cordemex,exact,,
mucane,0,,,,,,,no attested form hit in attached dictionaries
Vaal,0,,,,,,,no attested form hit in attached dictionaries
Teoyuxtlane,0,,,,,,,no attested form hit in attached dictionaries
ascensionada,0,,,,,,,no attested form hit in attached dictionaries
Yutsal,0,,,,,,,no attested form hit in attached dictionaries
ma,1,ma,K'iche',negative indicator,Christenson K'iche',exact,,
ma,2,ma,Nahuatl,(C) -mahtsal rama,Campbell Pipil/Nawat CN,exact,,
ma,3,ma,Nahuatl,(SD) -ma:pipil,Campbell Pipil/Nawat CN,exact,,
ma,4,ma,Nahuatl,(SD) masa:-ku:wa-t,Campbell Pipil/Nawat CN,exact,,
ma,5,ma,Nahuatl,It should be noted that Lehmann (1920:1061) also rejected Brinton's,Campbell Pipil/Nawat CN,exact,,
ma,6,-ma,Nawat,pipil dedo (de mano); finger,Campbell Pipil/Nawat,exact,,
ma,7,-ma,Nawat,taxkal palma (de la mano); palm of the hand,Campbell Pipil/Nawat,exact,,
ma,8,ma,Nawat,", maka",Campbell Pipil/Nawat,exact,,
ma,9,ma-,Nawat,mah- 'mano' (en palabras compuestas),Campbell Pipil/Nawat,exact,,
ma,10,MA,Yucatec Maya,man dar con brio 0 con rigor,Cordemex,exact,,
ma,11,MA,Yucatec Maya,pospuesta al cuerpo de los verb os y algunos nombres denota tener hecha su operaci6n; wohelma: sabido,Cordemex,exact,,
ma,12,MA,Yucatec Maya,dolor tener asi 0 mal; u puch u nakma: [tiene,Cordemex,exact,,
kilya,0,,,,,,,no attested form hit in attached dictionaries
Zerphi,0,,,,,,,no attested form hit in attached dictionaries
Ti,1,te,Nahuatl,(SD) tehemet,Campbell Pipil/Nawat CN,exact,,
Ti,2,-ti,Nawat,to become,Campbell Pipil/Nawat,exact,,
Ti,3,te,Nawat,"datka nada, de nada, no hay de qué; nothing; you're welcome",Campbell Pipil/Nawat,exact,,
Ti,4,te,Nawat,ke:man nunca; never,Campbell Pipil/Nawat,exact,,
Ti,5,te,Nawat,"ye:k malo, feo, no sirve; bad, no good, worthless",Campbell Pipil/Nawat,exact,,
Ti,6,ti,Nawat,21-t ik negro; black,Campbell Pipil/Nawat,exact,,
Ti,7,TE,Yucatec Maya,convida:Jor que convida 2. ah chan I,Cordemex,exact,,
Ti,8,TE,Yucatec Maya,"cuenta para cacaos, huevos y calabazas 7,8:",Cordemex,exact,,
Ti,9,TE,Yucatec Maya,"ten tar y tentaci6n; u tumtahen kisin, u tumtah",Cordemex,exact,,
Ti,10,te,Yucatec Maya,Aculla,Cordemex,exact,,
Ti,11,te,Yucatec Maya,Aherrumbrar,Cordemex,exact,,
Ti,12,te,Yucatec Maya,Alla,Cordemex,exact,,
itsok,0,,,,,,,no attested form hit in attached dictionaries
anab,1,unab,Yucatec Maya,Enteramente,Cordemex,exact,,
nochira,1,nochi,Nahuatl,all,Nahuatl 1100 wordlist,prefix,ra,
nochira,2,nochi,Nahuatl,whole,Nahuatl 1100 wordlist,prefix,ra,
nochira,3,NOCH,Yucatec Maya,jicara que no esta bien redonda 9: jicara mal,Cordemex,prefix,ira,
nochira,4,noch,Yucatec Maya,Repentino,Cordemex,prefix,ira,
nochira,5,noch,Yucatec Maya,Alargado,Cordemex,prefix,ira,
nochira,6,noch,Yucatec Maya,Cad Era,Cordemex,prefix,ira,
nochira,7,noch,Yucatec Maya,Cocodrilo,Cordemex,prefix,ira,
nochira,8,noch,Yucatec Maya,Cuadril,Cordemex,prefix,ira,
Kextal,0,,,,,,,no attested form hit in attached dictionaries
xi,1,xi,Nahuatl,año,Campbell Pipil/Nawat CN,exact,,
xi,2,XI,Yucatec Maya,cosa correcliza que se arrima mucho pOl' sl,Cordemex,exact,,
xi,3,xe,Yucatec Maya,Arrogante,Cordemex,exact,,
xi,4,xe,Yucatec Maya,Hemoptisis,Cordemex,exact,,
xi,5,xe,Yucatec Maya,Hijastro,Cordemex,exact,,
xi,6,xe,Yucatec Maya,Rebasar,Cordemex,exact,,
xi,7,xe,Yucatec Maya,Revesar,Cordemex,exact,,
xi,8,xe,Yucatec Maya,Vomitivo,Cordemex,exact,,
xi,9,xe,Yucatec Maya,Vomitar,Cordemex,exact,,
xi,10,xe,Yucatec Maya,Vomitado,Cordemex,exact,,
xi,11,xi,Yucatec Maya,Chispa,Cordemex,exact,,
kujkuali,0,,,,,,,no attested form hit in attached dictionaries
ik'bala,0,,,,,,,no attested form hit in attached dictionaries
ikba'yucane,0,,,,,,,no attested form hit in attached dictionaries
A'te,0,,,,,,,no attested form hit in attached dictionaries
'Ibil,1,EBIL,Yucatec Maya,"escalera, escalo, escal6n",Cordemex,exact,,
'Ibil,2,EBIL,Yucatec Maya,"rabiatandole, que debe serlo",Cordemex,exact,,
'Ibil,3,IBIL,Yucatec Maya,"sacudir 8: sacudiendoIo, que debe sacudirse 11 :",Cordemex,exact,,
tlayeb,0,,,,,,,no attested form hit in attached dictionaries
kutsen,1,-kuts,Nawat,"pierna, canilla; leg",Campbell Pipil/Nawat,prefix,en,
kutsen,2,-kuts,Nawat,pantorrilla; calf of leg,Campbell Pipil/Nawat,prefix,en,
kutsen,3,KUTS,Yucatec Maya,"acepiIIar 4, 8: Iimpiar con pafio a",Cordemex,affix,,
kutsen,4,KUTS,Yucatec Maya,"pavo de esta tierra 3: pavo real, macho 0 hembra 4, '6: pava 5,12: pavo 5: pava 0 pav6n 7, 13tpv:",Cordemex,affix,,
kutsen,5,kuts,Yucatec Maya,Acepillado,Cordemex,affix,,
kutsen,6,kuts,Yucatec Maya,Anade,Cordemex,affix,,
kutsen,7,kuts,Yucatec Maya,Ansar,Cordemex,affix,,
kutsen,8,kuts,Yucatec Maya,Anverso,Cordemex,affix,,
kutsen,9,kuts,Yucatec Maya,Barra,Cordemex,affix,,
kutsen,10,kuts,Yucatec Maya,Desflecar,Cordemex,affix,,
kutsen,11,kuts,Yucatec Maya,Deshilachado,Cordemex,affix,,
kutsen,12,kuts,Yucatec Maya,Deshilado,Cordemex,affix,,
ik'el,1,ik’il,K'iche',monthly,Christenson K'iche',exact,,
ik'el,2,ik’il,K'iche',month,Christenson K'iche',exact,,
ik'el,3,ik’il,K'iche',month; menstruation; monthly pay; monthly work,Christenson K'iche',exact,,
ik'el,4,EK'EL,Yucatec Maya,V. tsek'el,Cordemex,exact,,
ik'el,5,IK'AL,Yucatec Maya,v intr respirar,Cordemex,exact,,
ik'el,6,IK'AL,Yucatec Maya,andar la mar brava con el recio viento; ik'a1 u,Cordemex,exact,,
ik'el,7,IK'AL,Yucatec Maya,poeta 11: vate,Cordemex,exact,,
ik'el,8,IK'IL,Yucatec Maya,cobrar salud como milagro 0,Cordemex,exact,,
ik'el,9,IK'IL,Yucatec Maya,aereo,Cordemex,exact,,
ik'el,10,IK'IL,Yucatec Maya,inquietud,Cordemex,exact,,
ik'el,11,ek'el,Yucatec Maya,De Pelota,Cordemex,exact,,
ik'el,12,ik'al,Yucatec Maya,Mar,Cordemex,exact,,
kifba,0,,,,,,,no attested form hit in attached dictionaries
ascenada,0,,,,,,,no attested form hit in attached dictionaries
akal,1,AKAL,Yucatec Maya,acercarse; takal u ka'ah u mank'inal,Cordemex,exact,,
akal,2,AKAL,Yucatec Maya,romperse los zapatos y ropa para descoserse,Cordemex,exact,,
akal,3,UKAL,Yucatec Maya,a punto de la muerte.,Cordemex,exact,,
akal,4,akal,Yucatec Maya,Aborrecer,Cordemex,exact,,
akal,5,akal,Yucatec Maya,Enojadizo,Cordemex,exact,,
akal,6,akal,Yucatec Maya,Renir,Cordemex,exact,,
Aiokmo,0,,,,,,,no attested form hit in attached dictionaries
til,1,tel,K'iche',aperture; small hole (in door so kan see out); puncture wound,Christenson K'iche',exact,,
til,2,til,Nawat,"tile, tizne, carbón; soot",Campbell Pipil/Nawat,exact,,
til,3,TEL,Yucatec Maya,cierta comez6n que por tiempo de las calabazas da a los indios en las piernas.,Cordemex,exact,,
til,4,TIL,Yucatec Maya,"honrado, venerable, ilustre.",Cordemex,exact,,
til,5,tel,Yucatec Maya,Zarco,Cordemex,exact,,
til,6,til,Yucatec Maya,Propiedad,Cordemex,exact,,
