line_id,translation,confidence,notes
1,"Atziri, Atziri, black brazilwood there, the buried Vaal!",medium,"ek=eek'/Yucatec/palo del brasil y negro (tie-break seed 9001 among star, black, brazilwood-black; longest fold eek'); te=Yucatec/alla, aculla there (tie-break vs Nawat nothing); mucane=muka'n/Yucatec/soterrado, buried (longest covering lemma); Atziri, Vaal: no dictionary whole-form, kept as names."
2,"God-place, ascended one! God-place, goodness!",medium,"Teoyuxtlane=teotl/Nahuatl/dios, diosa, Dios plus tlan/Nahuatl/debajo, place-under; ascensionada=Spanish ascender (ilide: na'akal) feminine participle ascended; Yutsal=uts/Yucatec/bondad goodness (tie-break seed 9001 vs bello)."
3,"Atziri, Atziri, not earth Zerphi!",low,"ma=K'iche'/Nawat-Maya/negative, no (tie-break seed 9001 vs pain, hand); kilya=kil/Yucatec/La Tierra earth (substring, residue ya); Zerphi, Atziri: no dictionary whole-form, kept as names."
4,"At entirely all, tear out! Although spark, good wind-ball!",low,"Ti=ti'/Yucatec/en, alli at/there (tie-break among locative senses); itsok=tsok/Yucatec/arrancar tear out (tie-break seed 9001 vs punish); anab=unab/Yucatec/enteramente entirely; nochira=nochi/Nahuatl/all (tie-break vs whole); Kextal=kex/Yucatec/aunque although (tie-break vs where) plus residue tal; xi=Yucatec/chispa spark (tie-break seed 9001 vs year, Nawat imperative xi-); kujkuali=cualli/Nahuatl/good; ik'bala=ik'/Yucatec/aire, viento plus Spanish bala (ilide yool ts'oon)."
5,"Atziri, Atziri, yuca-[unparsed] Vaal!",low,"ikba'yucane: longest hit yuca/Spanish/ts'iin cassava; remainder ikba' and -ane not covered; Vaal, Atziri names. Parallel to mucane not forced."
6,"You-there, shake the turkey-ladder! You-there, insect, ladder [kifba]!",low,"A'te=a/ilide tu (posesivo) your plus te there; 'Ibil=IBIL/Yucatec/sacudir shake (tie-break vs ebil ladder); tlayeb=tla-/Nahuatl prefix plus yeb/Yucatec/escalera ladder (tie-break seed 9001 vs rain, mist); kutsen=kuts/Yucatec/pavo turkey (tie-break vs planed, tsen food); ik'el=ik'el/ilide insecto insect (tie-break vs moth, aerial, breathe); kifba: no dictionary hit, left opaque."
7,"Atziri, Atziri, ascended approach!",medium,"ascenada=Spanish ascender clipped participle ascended; akal=AKAL/Yucatec/acercarse approach (tie-break seed 9001 vs lagoon ak'al, hate)."
8,"[Aiokmo] honorable, to wound! [Aiokmo] full, in order that it soften in heat!",low,"Aiokmo: no dictionary hit; til=TIL/Yucatec/honrado, venerable, ilustre (tie-break vs soot, property); xu'te=xuta/Nawat/to wound; tul=TUL/Yucatec/lleno full (tie-break vs reed, person-counter); jare=are/K'iche'/in order that (tie-break vs he/she, that is); elba=alba/Yucatec/ablandarse al calor soften with heat (tie-break vs Spanish dawn)."
9,"Cacao-like tree, death!",medium,"Kuxte'=kuxta/Nawat/arbol parecido al cacao (tie-break vs gunny-sack); kiimil'=kíimil/ilide/deceso, muerte death (tie-break vs die, wither; longest fold 6)."
10,[Tlaxye'] the Vaal!,low,"Tlaxye': no whole-form hit (tla- prefix only); le=LE/Yucatec and le/K'iche'/the, that, ese (tie-break seed 9001 vs snare, pain-particle); Vaal name."
