id,token,legacy_confidence,recovery,reason,committed_root,committed_gloss,dec_root,dec_lang,dec_gloss,gate1_strict,gate1_where,gate2_adversarial,gate2_note,protocol,tier
1,Aiokmo,none,no,confidence_not_C,aocmo,"no more, no longer",,,,fail,strict_committed_results_rerun id=1 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
2,akal,C,no,mismatch:sense,akal,still / eternal waters,AKAL,Yucatec Maya,romperse los zapatos y ropa para descoserse,fail,strict_committed_results_rerun id=2 mismatch:sense,fall,DIFF-meaning: Yucatec Maya AKAL = acercarse; takal u ka'ah u mank'inal,,C*
3,anab,none,no,confidence_not_C,anaab,"court-servant, attendant",,,,fail,strict_committed_results_rerun id=3 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
4,ascensionada / ascenada,none,no,confidence_not_C,ascensión + -ada,"ascended, risen",,,,fail,strict_committed_results_rerun id=4 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
5,A'te / U'Te / Yatle,none,no,confidence_not_C,at / yan presentative,behold / here is / there stands,,,,fail,strict_committed_results_rerun id=5 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
6,atla,none,no,confidence_not_C,atl,the water / upon the water,,,,fail,strict_committed_results_rerun id=6 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
7,Atziri,none,no,confidence_not_C,ātl,the queen (name),,,,fail,strict_committed_results_rerun id=7 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
8,'Ayok,none,no,confidence_not_C,aocmo / ayoc,"no more, no longer",,,,fail,strict_committed_results_rerun id=8 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
9,cha'tsoke,none,no,confidence_not_C,ka'a,the ending once more,,,,fail,strict_committed_results_rerun id=9 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
10,che',C,no,mismatch:sense,che',"tree, wood",CHE',Yucatec Maya,"artesa 0 batea, a manera de canoa",fail,strict_committed_results_rerun id=10 mismatch:sense,fall,"DIFF-meaning: Yucatec Maya CHE' = salvia 3: salvia, yerba conocida",,C*
11,ek,C,no,mismatch:sense,ek',star; also black / dark,EK,Yucatec Maya,una avispa muy grande :8: una,fail,strict_committed_results_rerun id=11 mismatch:sense,fall,DIFF-meaning: K'iche' ek = to go (Totonicapán),,C*
12,Ela,none,no,confidence_not_C,el / elel,"burns, it burns",,,,fail,strict_committed_results_rerun id=12 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
13,elba,none,no,confidence_not_C,el + ba',"burn out, extinguish",,,,fail,strict_committed_results_rerun id=13 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
14,-en,C,no,"mismatch:lang(Spanish not in ['Maya']),sense",-en / teen,"me, I",en,Spanish,"Spanish: ich, ichil",fail,"strict_committed_results_rerun id=14 mismatch:lang(Spanish not in ['Maya']),sense",fall,DIFF-meaning: Yucatec Maya EN = pronombre de la primera persona 8: soy 0 estoy;,,C*
15,Eztli Pilli,none,no,confidence_not_C,eztli,"""the Blood Prince"" (a forbidden Vaal tome)",,,,fail,strict_committed_results_rerun id=15 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
16,Guatelitzi,none,no,confidence_not_C,(name)[38],the Architect of Flesh (a Vaal architect of the Temple of Atzoatl),,,,fail,strict_committed_results_rerun id=16 confidence_not_C,n/a,proper name; Gate 2 not applicable,,C+L
17,'Ibil,C,no,"mismatch:root,sense",il,the seen → the flesh (laid bare),IBIL,Yucatec Maya,"sacudir 8: sacudiendoIo, que debe sacudirse 11 :",fail,"strict_committed_results_rerun id=17 mismatch:root,sense",survive,no strong different-meaning competitor written by the lookup,,C+L
18,ich,C,no,mismatch:sense,ich(il),"in, within",ICH,Yucatec Maya,"va dcslustrarse, clejar de brillar 0 dar luz, deslavarse la pintura",fail,strict_committed_results_rerun id=18 mismatch:sense,fall,DIFF-meaning: Yucatec Maya ICH = .el de rostro tostado y el,,C*
19,i'chian,none,no,confidence_not_C,ichan,"the dwelling, her house",,,,fail,strict_committed_results_rerun id=19 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
20,ik'bala,none,no,confidence_not_C,ik' + ba',"spirit-self, soul",,,,fail,strict_committed_results_rerun id=20 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
21,ikba'yucane,none,no,confidence_not_C,ik' + ba' + -ane hon.,the deathless-spirited ones,,,,fail,strict_committed_results_rerun id=21 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
22,Ik'eche,none,no,confidence_not_C,ik',"""O spirit / thou art breath""",,,,fail,strict_committed_results_rerun id=22 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
23,ik'el,C,no,"mismatch:root,sense",ik' + -el,"the spirit, the unseen",ik’el,Yucatec Maya,bicho,fail,"strict_committed_results_rerun id=23 mismatch:root,sense",survive,no strong different-meaning competitor written by the lookup,,C+L
24,itsok / itzil,none,no,confidence_not_C,iitz,"blood, essence",,,,fail,strict_committed_results_rerun id=24 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C+L
25,jare,none,no,confidence_not_C,are',"connective: ""thus, and so""",,,,fail,strict_committed_results_rerun id=25 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
26,k'áak' (kahk),C,yes,root_lang_sense_match,k'áak',fire,K'AK',Yucatec Maya,fuelle 7: fuelle para soplar fuego :8: fue-,pass,strict_committed_results_rerun id=26 recovery=yes,fall,DIFF-meaning: Yucatec Maya k'aak' = Ver Visiones,,C*
27,Kextal,none,no,confidence_not_C,k'ex,"transformation, ritual renewal",,,,fail,strict_committed_results_rerun id=27 confidence_not_C,survive,no strong different-meaning competitor written by the lookup,,C
